id,loc,build_type,d_y,a_y,d_u,a_u
1,high,W1,0.48,0.4,11.51,1.2
2,high,W2,0.63,0.4,12.53,1
3,high,S1L,0.61,0.25,14.67,0.749
4,high,S1M,1.78,0.156,28.4,0.468
5,high,S1H,4.66,0.098,55.88,0.293
6,high,S2L,0.63,0.4,10.02,0.8
7,high,S2M,2.43,0.333,25.88,0.667
8,high,S2H,7.75,0.254,61.97,0.508
9,high,S3,0.63,0.4,10.02,0.8
10,high,S4L,0.38,0.32,6.91,0.72
11,high,S4M,1.09,0.267,13.1,0.6
12,high,S4H,3.49,0.203,31.37,0.457
13,high,S5L,NaN,NaN,NaN,NaN
14,high,S5M,NaN,NaN,NaN,NaN
15,high,S5H,NaN,NaN,NaN,NaN
16,high,C1L,0.39,0.25,9.39,0.749
17,high,C1M,1.15,0.208,18.44,0.624
18,high,C1H,2.01,0.098,24.13,0.293
19,high,C2L,0.48,0.4,9.59,1
20,high,C2M,1.04,0.333,13.84,0.833
21,high,C2H,2.94,0.254,29.39,0.635
22,high,C3L,NaN,NaN,NaN,NaN
23,high,C3M,NaN,NaN,NaN,NaN
24,high,C3H,NaN,NaN,NaN,NaN
25,high,PC1,0.72,0.6,11.51,1.2
26,high,PC2L,0.48,0.4,7.67,0.8
27,high,PC2M,1.04,0.333,11.07,0.667
28,high,PC2H,2.94,0.254,23.52,0.508
29,high,RM1L,0.64,0.533,10.23,1.066
30,high,RM1M,1.38,0.444,14.76,0.889
31,high,RM2L,0.64,0.533,10.23,1.066
32,high,RM2M,1.38,0.444,14.76,0.889
33,high,RM2H,3.92,0.338,31.35,0.677
34,high,URML,NaN,NaN,NaN,NaN
35,high,URMM,NaN,NaN,NaN,NaN
36,high,MH,0.18,0.15,2.16,0.3
37,moderate,W1,0.36,0.3,6.48,0.9
38,moderate,W2,0.31,0.2,4.7,0.5
39,moderate,S1L,0.31,0.125,5.5,0.375
40,moderate,S1M,0.89,0.078,10.65,0.234
41,moderate,S1H,2.33,0.049,20.96,0.147
42,moderate,S2L,0.31,0.2,3.76,0.4
43,moderate,S2M,1.21,0.167,9.7,0.333
44,moderate,S2H,3.87,0.127,23.24,0.254
