id,loc,build_type,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
1,high,W1,0.3,0.73,0.6,0.68,1.2,0.68,2.4,0.68
2,high,W2,0.3,0.7,0.6,0.67,1.2,0.67,2.4,0.68
3,high,S1L,0.3,0.67,0.6,0.67,1.2,0.68,2.4,0.67
4,high,S1M,0.3,0.67,0.6,0.68,1.2,0.67,2.4,0.67
5,high,S1H,0.3,0.68,0.6,0.67,1.2,0.67,2.4,0.67
6,high,S2L,0.3,0.67,0.6,0.67,1.2,0.67,2.4,0.67
7,high,S2M,0.3,0.69,0.6,0.66,1.2,0.66,2.4,0.66
8,high,S2H,0.3,0.68,0.6,0.66,1.2,0.65,2.4,0.65
9,high,S3,0.3,0.68,0.6,0.67,1.2,0.67,2.4,0.67
10,high,S4L,0.3,0.68,0.6,0.68,1.2,0.67,2.4,0.67
11,high,S4M,0.3,0.67,0.6,0.65,1.2,0.66,2.4,0.66
12,high,S4H,0.3,0.67,0.6,0.66,1.2,0.65,2.4,0.65
13,high,S5L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,high,S5M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,high,S5H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,high,C1L,0.3,0.68,0.6,0.68,1.2,0.67,2.4,0.67
17,high,C1M,0.3,0.68,0.6,0.68,1.2,0.66,2.4,0.66
18,high,C1H,0.3,0.66,0.6,0.66,1.2,0.66,2.4,0.66
19,high,C2L,0.3,0.69,0.6,0.67,1.2,0.66,2.4,0.64
20,high,C2M,0.3,0.7,0.6,0.65,1.2,0.65,2.4,0.65
21,high,C2H,0.3,0.68,0.6,0.66,1.2,0.65,2.4,0.65
22,high,C3L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,high,C3M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,high,C3H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,high,PC1,0.3,0.74,0.6,0.67,1.2,0.67,2.4,0.64
26,high,PC2L,0.3,0.68,0.6,0.67,1.2,0.67,2.4,0.67
27,high,PC2M,0.3,0.68,0.6,0.65,1.2,0.66,2.4,0.66
