id,loc,build_type,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
1,high,W1,0.5,0.85,1.01,0.88,3.15,0.88,6.3,0.94
2,high,W2,0.86,0.87,1.73,0.89,5.4,0.96,10.8,0.94
3,high,S1L,0.86,0.81,1.73,0.85,5.4,0.77,10.8,0.77
4,high,S1M,2.16,0.71,4.32,0.72,13.5,0.72,27,0.8
5,high,S1H,4.49,0.72,8.99,0.71,28.08,0.74,56.16,0.77
6,high,S2L,0.86,0.84,1.73,0.9,5.4,0.97,10.8,0.92
7,high,S2M,2.16,0.71,4.32,0.74,13.5,0.74,27,0.84
8,high,S2H,4.49,0.71,8.99,0.71,28.08,0.72,56.16,0.78
9,high,S3,0.54,0.86,1.08,0.88,3.38,0.98,6.75,0.98
10,high,S4L,0.86,0.93,1.73,0.94,5.4,1.01,10.8,0.99
11,high,S4M,2.16,0.8,4.32,0.76,13.5,0.76,27,0.93
12,high,S4H,4.49,0.72,8.99,0.72,28.08,0.79,56.16,0.91
13,high,S5L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,high,S5M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,high,S5H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,high,C1L,0.72,0.84,1.44,0.88,4.5,0.9,9,0.88
17,high,C1M,1.8,0.72,3.6,0.73,11.25,0.74,22.5,0.84
18,high,C1H,3.46,0.71,6.91,0.71,21.6,0.78,43.2,0.88
19,high,C2L,0.72,0.87,1.44,0.88,4.5,0.97,9,0.99
20,high,C2M,1.8,0.84,3.6,0.82,11.25,0.74,22.5,0.81
21,high,C2H,3.46,0.71,6.91,0.72,21.6,0.74,43.2,0.85
22,high,C3L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,high,C3M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,high,C3H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,high,PC1,0.54,0.82,1.08,0.91,3.38,0.95,6.75,1.03
26,high,PC2L,0.72,0.89,1.44,0.93,4.5,1.03,9,1.04
27,high,PC2M,1.8,0.87,3.6,0.83,11.25,0.77,22.5,0.89
28,high,PC2H,3.46,0.73,6.91,0.73,21.6,0.77,43.2,0.89
29,high,RM1L,0.72,0.89,1.44,0.91,4.5,0.97,9,1.06
30,high,RM1M,1.8,0.81,3.6,0.86,11.25,0.8,22.5,0.81
31,high,RM2L,0.72,0.85,1.44,0.87,4.5,0.95,9,1.03
32,high,RM2M,1.8,0.82,3.6,0.84,11.25,0.76,22.5,0.8
33,high,RM2H,3.46,0.71,6.91,0.73,21.6,0.73,43.2,0.85
34,high,URML,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
