id,loc,build_type,short,moderate,long,short_aebm,moderate_aebm,long_aebm
1,high,W1,1,0.8,0.5,0.9,0.7,0.5
2,high,W2,0.9,0.6,0.4,0.9,0.7,0.5
3,high,S1L,0.9,0.6,0.4,0.9,0.7,0.5
4,high,S1M,0.9,0.6,0.4,0.9,0.7,0.5
5,high,S1H,0.9,0.6,0.4,0.9,0.7,0.5
6,high,S2L,0.7,0.5,0.3,0.9,0.7,0.5
7,high,S2M,0.7,0.5,0.3,0.9,0.7,0.5
8,high,S2H,0.7,0.5,0.3,0.9,0.7,0.5
9,high,S3,0.7,0.5,0.3,0.9,0.7,0.5
10,high,S4L,0.7,0.5,0.3,0.9,0.7,0.5
11,high,S4M,0.7,0.5,0.3,0.9,0.7,0.5
12,high,S4H,0.7,0.5,0.3,0.9,0.7,0.5
13,high,S5L,0.5,0.3,0.1,0.9,0.7,0.5
14,high,S5M,0.5,0.3,0.1,0.9,0.7,0.5
15,high,S5H,0.5,0.3,0.1,0.9,0.7,0.5
16,high,C1L,0.9,0.6,0.4,0.9,0.7,0.5
17,high,C1M,0.9,0.6,0.4,0.9,0.7,0.5
18,high,C1H,0.9,0.6,0.4,0.9,0.7,0.5
19,high,C2L,0.9,0.6,0.4,0.9,0.7,0.5
20,high,C2M,0.9,0.6,0.4,0.9,0.7,0.5
21,high,C2H,0.9,0.6,0.4,0.9,0.7,0.5
22,high,C3L,0.5,0.3,0.1,0.9,0.7,0.5
23,high,C3M,0.5,0.3,0.1,0.9,0.7,0.5
24,high,C3H,0.5,0.3,0.1,0.9,0.7,0.5
25,high,PC1,0.7,0.5,0.3,0.9,0.7,0.5
26,high,PC2L,0.7,0.5,0.3,0.9,0.7,0.5
27,high,PC2M,0.7,0.5,0.3,0.9,0.7,0.5
28,high,PC2H,0.7,0.5,0.3,0.9,0.7,0.5
29,high,RM1L,0.9,0.6,0.4,0.9,0.7,0.5
30,high,RM1M,0.9,0.6,0.4,0.9,0.7,0.5
31,high,RM2L,0.9,0.6,0.4,0.9,0.7,0.5
32,high,RM2M,0.9,0.6,0.4,0.9,0.7,0.5
33,high,RM2H,0.9,0.6,0.4,0.9,0.7,0.5
34,high,URML,0.5,0.3,0.1,0.9,0.7,0.5
35,high,URMM,0.5,0.3,0.1,0.9,0.7,0.5
36,high,MH,0.8,0.4,0.2,0.9,0.7,0.5
37,moderate,W1,0.9,0.6,0.3,0.7,0.5,0.3
38,moderate,W2,0.8,0.4,0.2,0.7,0.5,0.3
39,moderate,S1L,0.8,0.4,0.2,0.7,0.5,0.3
40,moderate,S1M,0.8,0.4,0.2,0.7,0.5,0.3
41,moderate,S1H,0.8,0.4,0.2,0.7,0.5,0.3
42,moderate,S2L,0.6,0.4,0.2,0.7,0.5,0.3
43,moderate,S2M,0.6,0.4,0.2,0.7,0.5,0.3
44,moderate,S2H,0.6,0.4,0.2,0.7,0.5,0.3
45,moderate,S3,0.6,0.4,0.2,0.7,0.5,0.3
