id,loc,build_type,roof_ht_in,modal_ht_in,drift_slight,drift_moderate,drift_extensive,drift_complete,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
1,high,W1,168,126,0.004,0.012,0.04,0.1,0.5,0.8,1.51,0.81,5.04,0.85,12.6,0.97
2,high,W2,288,216,0.004,0.012,0.04,0.1,0.86,0.81,2.59,0.88,8.64,0.9,21.6,0.83
3,high,S1L,288,216,0.006,0.012,0.03,0.08,1.3,0.8,2.59,0.76,6.48,0.69,17.28,0.72
4,high,S1M,720,540,0.004,0.008,0.02,0.0533,2.16,0.65,4.32,0.66,10.8,0.67,28.8,0.74
5,high,S1H,1872,1123,0.003,0.006,0.015,0.04,3.37,0.64,6.74,0.64,16.85,0.65,44.93,0.67
6,high,S2L,288,216,0.005,0.01,0.03,0.08,1.08,0.81,2.16,0.89,6.48,0.94,17.28,0.83
7,high,S2M,720,540,0.0033,0.0067,0.02,0.0533,1.8,0.67,3.6,0.67,10.8,0.68,28.8,0.79
8,high,S2H,1872,1123,0.0025,0.005,0.015,0.04,2.81,0.63,5.62,0.63,16.85,0.64,44.93,0.71
9,high,S3,180,135,0.004,0.008,0.024,0.07,0.54,0.81,1.08,0.82,3.24,0.91,9.45,0.9
10,high,S4L,288,216,0.004,0.008,0.024,0.07,0.86,0.89,1.73,0.89,5.18,0.98,15.12,0.87
11,high,S4M,720,540,0.0027,0.0053,0.016,0.0467,1.44,0.77,2.88,0.72,8.64,0.7,25.2,0.89
12,high,S4H,1872,1123,0.002,0.004,0.012,0.035,2.25,0.64,4.49,0.66,13.48,0.69,39.31,0.77
13,high,S5L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,high,S5M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,high,S5H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,high,C1L,240,180,0.005,0.01,0.03,0.08,0.9,0.81,1.8,0.84,5.4,0.86,14.4,0.81
17,high,C1M,600,450,0.0033,0.0067,0.02,0.0533,1.5,0.68,3,0.67,9,0.68,24,0.81
18,high,C1H,1440,864,0.0025,0.005,0.015,0.04,2.16,0.66,4.32,0.64,12.96,0.67,34.56,0.78
19,high,C2L,240,180,0.004,0.01,0.03,0.08,0.72,0.81,1.8,0.84,5.4,0.93,14.4,0.92
20,high,C2M,600,450,0.0027,0.0067,0.02,0.0533,1.2,0.74,3,0.77,9,0.68,24,0.77
21,high,C2H,1440,864,0.002,0.005,0.015,0.04,1.73,0.68,4.32,0.65,12.96,0.66,34.56,0.75
22,high,C3L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,high,C3M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
