id,build_type,level_of_code,cs
1,W1,high,0.2
2,W1,moderate,0.15
3,W1,low,0.1
4,W1,pre,0.1
5,W2,high,0.2
6,W2,moderate,0.1
7,W2,low,0.05
8,W2,pre,0.05
9,S1L,high,0.133
10,S1L,moderate,0.067
11,S1L,low,0.033
12,S1L,pre,0.033
13,S1M,high,0.1
14,S1M,moderate,0.05
15,S1M,low,0.025
16,S1M,pre,0.025
17,S1H,high,0.067
18,S1H,moderate,0.033
19,S1H,low,0.017
20,S1H,pre,0.017
21,S2L,high,0.2
22,S2L,moderate,0.2
23,S2L,low,0.05
24,S2L,pre,0.05
25,S2M,high,0.2
26,S2M,moderate,0.1
27,S2M,low,0.05
28,S2M,pre,0.05
29,S2H,high,0.15
30,S2H,moderate,0.075
31,S2H,low,0.038
32,S2H,pre,0.038
33,S3,high,0.2
34,S4,moderate,0.1
35,S5,low,0.05
36,S6,pre,0.05
37,S4L,high,0.16
38,S4L,moderate,0.08
39,S4L,low,0.04
40,S4L,pre,0.04
41,S4M,high,0.16
42,S4M,moderate,0.08
43,S4M,low,0.04
44,S4M,pre,0.04
45,S4H,high,0.12
46,S4H,moderate,0.06
47,S4H,low,0.03
48,S4H,pre,0.03
49,S5L,high,NaN
50,S5L,moderate,NaN
51,S5L,low,0.05
52,S5L,pre,0.05
53,S5M,high,NaN
54,S5M,moderate,NaN
55,S5M,low,0.05
56,S5M,pre,0.05
57,S5H,high,NaN
58,S5H,moderate,NaN
59,S5H,low,0.038
60,S5H,pre,0.038
61,C1L,high,0.133
62,C1L,moderate,0.067
63,C1L,low,0.033
64,C1L,pre,0.033
65,C1M,high,0.133
66,C1M,moderate,0.067
67,C1M,low,0.033
68,C1M,pre,0.033
69,C1H,high,0.067
70,C1H,moderate,0.033
71,C1H,low,0.017
72,C1H,pre,0.017
73,C2L,high,0.2
74,C2L,moderate,0.1
75,C2L,low,0.05
76,C2L,pre,0.05
77,C2M,high,0.2
78,C2M,moderate,0.1
79,C2M,low,0.05
80,C2M,pre,0.05
81,C2H,high,0.15
82,C2H,moderate,0.075
83,C2H,low,0.038
84,C2H,pre,0.038
85,C3L,high,NaN
86,C3L,moderate,NaN
87,C3L,low,0.05
88,C3L,pre,0.05
89,C3M,high,NaN
90,C3M,moderate,NaN
91,C3M,low,0.05
92,C3M,pre,0.05
93,C3H,high,NaN
94,C3H,moderate,NaN
95,C3H,low,0.038
96,C3H,pre,0.038
97,PC1,high,0.2
98,PC2,moderate,0.1
99,PC3,low,0.05
100,PC4,pre,0.05
101,PC2L,high,0.2
102,PC2L,moderate,0.1
103,PC2L,low,0.05
104,PC2L,pre,0.05
105,PC2M,high,0.2
106,PC2M,moderate,0.1
107,PC2M,low,0.05
108,PC2M,pre,0.05
109,PC2H,high,0.15
110,PC2H,moderate,0.075
111,PC2H,low,0.038
112,PC2H,pre,0.038
113,RM1L,high,0.267
114,RM1L,moderate,0.133
115,RM1L,low,0.067
116,RM1L,pre,0.067
117,RM1M,high,0.267
118,RM1M,moderate,0.133
119,RM1M,low,0.067
120,RM1M,pre,0.067
121,RM2L,high,0.267
122,RM2L,moderate,0.133
123,RM2L,low,0.067
124,RM2L,pre,0.067
125,RM2M,high,0.267
126,RM2M,moderate,0.133
127,RM2M,low,0.067
128,RM2M,pre,0.067
129,RM2H,high,0.2
130,RM2H,moderate,0.1
131,RM2H,low,0.05
132,RM2H,pre,0.05
133,URML,high,NaN
134,URML,moderate,NaN
135,URML,low,0.067
136,URML,pre,0.067
137,URMM,high,NaN
138,URMM,moderate,NaN
139,URMM,low,0.067
140,URMM,pre,0.067
141,MH,high,0.1
142,MH,moderate,0.1
143,MH,low,0.1
144,MH,pre,0.1
