id,loc,build_type,damage_state,median,beta
1,high,W1,slight,0.26,0.64
2,high,W1,moderate,0.55,0.64
3,high,W1,extensive,1.28,0.64
4,high,W1,complete,2.01,0.64
5,high,W2,slight,0.26,0.64
6,high,W2,moderate,0.56,0.64
7,high,W2,extensive,1.15,0.64
8,high,W2,complete,2.08,0.64
9,high,S1L,slight,0.19,0.64
10,high,S1L,moderate,0.31,0.64
11,high,S1L,extensive,0.64,0.64
12,high,S1L,complete,1.49,0.64
13,high,S1M,slight,0.14,0.64
14,high,S1M,moderate,0.26,0.64
15,high,S1M,extensive,0.62,0.64
16,high,S1M,complete,1.43,0.64
17,high,S1H,slight,0.1,0.64
18,high,S1H,moderate,0.21,0.64
19,high,S1H,extensive,0.52,0.64
20,high,S1H,complete,1.31,0.64
21,high,S2L,slight,0.24,0.64
22,high,S2L,moderate,0.41,0.64
23,high,S2L,extensive,0.76,0.64
24,high,S2L,complete,1.46,0.64
25,high,S2M,slight,0.14,0.64
26,high,S2M,moderate,0.27,0.64
27,high,S2M,extensive,0.73,0.64
28,high,S2M,complete,1.62,0.64
29,high,S2H,slight,0.11,0.64
30,high,S2H,moderate,0.22,0.64
31,high,S2H,extensive,0.65,0.64
32,high,S2H,complete,1.6,0.64
33,high,S3,slight,0.15,0.64
34,high,S3,moderate,0.26,0.64
35,high,S3,extensive,0.54,0.64
36,high,S3,complete,1,0.64
37,high,S4L,slight,0.24,0.64
38,high,S4L,moderate,0.39,0.64
39,high,S4L,extensive,0.71,0.64
40,high,S4L,complete,1.33,0.64
41,high,S4M,slight,0.16,0.64
42,high,S4M,moderate,0.28,0.64
43,high,S4M,extensive,0.73,0.64
44,high,S4M,complete,1.56,0.64
45,high,S4H,slight,0.13,0.64
46,high,S4H,moderate,0.25,0.64
47,high,S4H,extensive,0.69,0.64
48,high,S4H,complete,1.63,0.64
49,high,S5L,slight,NaN,NaN
50,high,S5L,moderate,NaN,NaN
51,high,S5L,extensive,NaN,NaN
52,high,S5L,complete,NaN,NaN
53,high,S5M,slight,NaN,NaN
54,high,S5M,moderate,NaN,NaN
55,high,S5M,extensive,NaN,NaN
56,high,S5M,complete,NaN,NaN
57,high,S5H,slight,NaN,NaN
58,high,S5H,moderate,NaN,NaN
59,high,S5H,extensive,NaN,NaN
60,high,S5H,complete,NaN,NaN
61,high,C1L,slight,0.21,0.64
62,high,C1L,moderate,0.35,0.64
63,high,C1L,extensive,0.7,0.64
64,high,C1L,complete,1.37,0.64
65,high,C1M,slight,0.15,0.64
66,high,C1M,moderate,0.27,0.64
67,high,C1M,extensive,0.73,0.64
68,high,C1M,complete,1.61,0.64
69,high,C1H,slight,0.11,0.64
70,high,C1H,moderate,0.22,0.64
71,high,C1H,extensive,0.62,0.64
72,high,C1H,complete,1.35,0.64
73,high,C2L,slight,0.24,0.64
74,high,C2L,moderate,0.45,0.64
75,high,C2L,extensive,0.9,0.64
76,high,C2L,complete,1.55,0.64
77,high,C2M,slight,0.17,0.64
78,high,C2M,moderate,0.36,0.64
79,high,C2M,extensive,0.87,0.64
80,high,C2M,complete,1.95,0.64
81,high,C2H,slight,0.12,0.64
82,high,C2H,moderate,0.29,0.64
83,high,C2H,extensive,0.82,0.64
84,high,C2H,complete,1.87,0.64
85,high,C3L,slight,NaN,NaN
86,high,C3L,moderate,NaN,NaN
87,high,C3L,extensive,NaN,NaN
88,high,C3L,complete,NaN,NaN
89,high,C3M,slight,NaN,NaN
90,high,C3M,moderate,NaN,NaN
91,high,C3M,extensive,NaN,NaN
92,high,C3M,complete,NaN,NaN
93,high,C3H,slight,NaN,NaN
94,high,C3H,moderate,NaN,NaN
95,high,C3H,extensive,NaN,NaN
96,high,C3H,complete,NaN,NaN
97,high,PC1,slight,0.2,0.64
98,high,PC1,moderate,0.35,0.64
99,high,PC1,extensive,0.72,0.64
100,high,PC1,complete,1.25,0.64
101,high,PC2L,slight,0.24,0.64
102,high,PC2L,moderate,0.36,0.64
103,high,PC2L,extensive,0.69,0.64
104,high,PC2L,complete,1.23,0.64
105,high,PC2M,slight,0.17,0.64
106,high,PC2M,moderate,0.29,0.64
107,high,PC2M,extensive,0.67,0.64
108,high,PC2M,complete,1.51,0.64
109,high,PC2H,slight,0.12,0.64
110,high,PC2H,moderate,0.23,0.64
111,high,PC2H,extensive,0.63,0.64
112,high,PC2H,complete,1.49,0.64
113,high,RM1L,slight,0.3,0.64
114,high,RM1L,moderate,0.46,0.64
115,high,RM1L,extensive,0.93,0.64
116,high,RM1L,complete,1.57,0.64
117,high,RM1M,slight,0.2,0.64
118,high,RM1M,moderate,0.37,0.64
119,high,RM1M,extensive,0.81,0.64
120,high,RM1M,complete,1.9,0.64
121,high,RM2L,slight,0.26,0.64
122,high,RM2L,moderate,0.42,0.64
123,high,RM2L,extensive,0.87,0.64
124,high,RM2L,complete,1.49,0.64
125,high,RM2M,slight,0.17,0.64
126,high,RM2M,moderate,0.33,0.64
127,high,RM2M,extensive,0.75,0.64
128,high,RM2M,complete,1.83,0.64
129,high,RM2H,slight,0.12,0.64
130,high,RM2H,moderate,0.24,0.64
131,high,RM2H,extensive,0.67,0.64
132,high,RM2H,complete,1.78,0.64
133,high,URML,slight,NaN,NaN
134,high,URML,moderate,NaN,NaN
135,high,URML,extensive,NaN,NaN
136,high,URML,complete,NaN,NaN
137,high,URMM,slight,NaN,NaN
138,high,URMM,moderate,NaN,NaN
139,high,URMM,extensive,NaN,NaN
140,high,URMM,complete,NaN,NaN
141,high,MH,slight,0.11,0.64
142,high,MH,moderate,0.18,0.64
143,high,MH,extensive,0.31,0.64
144,high,MH,complete,0.6,0.64
145,moderate,W1,slight,0.24,0.64
146,moderate,W1,moderate,0.43,0.64
147,moderate,W1,extensive,0.91,0.64
148,moderate,W1,complete,1.34,0.64
149,moderate,W2,slight,0.2,0.64
150,moderate,W2,moderate,0.35,0.64
151,moderate,W2,extensive,0.64,0.64
152,moderate,W2,complete,1.13,0.64
153,moderate,S1L,slight,0.15,0.64
154,moderate,S1L,moderate,0.22,0.64
155,moderate,S1L,extensive,0.42,0.64
156,moderate,S1L,complete,0.8,0.64
157,moderate,S1M,slight,0.13,0.64
158,moderate,S1M,moderate,0.21,0.64
159,moderate,S1M,extensive,0.44,0.64
160,moderate,S1M,complete,0.82,0.64
161,moderate,S1H,slight,0.1,0.64
162,moderate,S1H,moderate,0.18,0.64
163,moderate,S1H,extensive,0.39,0.64
164,moderate,S1H,complete,0.78,0.64
165,moderate,S2L,slight,0.2,0.64
166,moderate,S2L,moderate,0.26,0.64
167,moderate,S2L,extensive,0.46,0.64
168,moderate,S2L,complete,0.84,0.64
169,moderate,S2M,slight,0.14,0.64
170,moderate,S2M,moderate,0.22,0.64
171,moderate,S2M,extensive,0.53,0.64
172,moderate,S2M,complete,0.97,0.64
173,moderate,S2H,slight,0.11,0.64
174,moderate,S2H,moderate,0.19,0.64
175,moderate,S2H,extensive,0.49,0.64
176,moderate,S2H,complete,1.02,0.64
177,moderate,S3,slight,0.13,0.64
178,moderate,S3,moderate,0.19,0.64
179,moderate,S3,extensive,0.33,0.64
180,moderate,S3,complete,0.6,0.64
181,moderate,S4L,slight,0.19,0.64
182,moderate,S4L,moderate,0.26,0.64
183,moderate,S4L,extensive,0.41,0.64
184,moderate,S4L,complete,0.78,0.64
185,moderate,S4M,slight,0.14,0.64
186,moderate,S4M,moderate,0.22,0.64
187,moderate,S4M,extensive,0.51,0.64
188,moderate,S4M,complete,0.92,0.64
189,moderate,S4H,slight,0.12,0.64
190,moderate,S4H,moderate,0.21,0.64
191,moderate,S4H,extensive,0.51,0.64
192,moderate,S4H,complete,0.97,0.64
193,moderate,S5L,slight,NaN,NaN
194,moderate,S5L,moderate,NaN,NaN
195,moderate,S5L,extensive,NaN,NaN
196,moderate,S5L,complete,NaN,NaN
197,moderate,S5M,slight,NaN,NaN
198,moderate,S5M,moderate,NaN,NaN
199,moderate,S5M,extensive,NaN,NaN
200,moderate,S5M,complete,NaN,NaN
201,moderate,S5H,slight,NaN,NaN
202,moderate,S5H,moderate,NaN,NaN
203,moderate,S5H,extensive,NaN,NaN
204,moderate,S5H,complete,NaN,NaN
205,moderate,C1L,slight,0.16,0.64
206,moderate,C1L,moderate,0.23,0.64
207,moderate,C1L,extensive,0.41,0.64
208,moderate,C1L,complete,0.77,0.64
209,moderate,C1M,slight,0.13,0.64
210,moderate,C1M,moderate,0.21,0.64
211,moderate,C1M,extensive,0.49,0.64
212,moderate,C1M,complete,0.89,0.64
213,moderate,C1H,slight,0.11,0.64
214,moderate,C1H,moderate,0.18,0.64
215,moderate,C1H,extensive,0.41,0.64
216,moderate,C1H,complete,0.74,0.64
217,moderate,C2L,slight,0.18,0.64
218,moderate,C2L,moderate,0.3,0.64
219,moderate,C2L,extensive,0.49,0.64
220,moderate,C2L,complete,0.87,0.64
221,moderate,C2M,slight,0.15,0.64
222,moderate,C2M,moderate,0.26,0.64
223,moderate,C2M,extensive,0.55,0.64
224,moderate,C2M,complete,1.02,0.64
225,moderate,C2H,slight,0.12,0.64
226,moderate,C2H,moderate,0.23,0.64
227,moderate,C2H,extensive,0.57,0.64
228,moderate,C2H,complete,1.07,0.64
229,moderate,C3L,slight,NaN,NaN
230,moderate,C3L,moderate,NaN,NaN
231,moderate,C3L,extensive,NaN,NaN
232,moderate,C3L,complete,NaN,NaN
233,moderate,C3M,slight,NaN,NaN
234,moderate,C3M,moderate,NaN,NaN
235,moderate,C3M,extensive,NaN,NaN
236,moderate,C3M,complete,NaN,NaN
237,moderate,C3H,slight,NaN,NaN
238,moderate,C3H,moderate,NaN,NaN
239,moderate,C3H,extensive,NaN,NaN
240,moderate,C3H,complete,NaN,NaN
241,moderate,PC1,slight,0.18,0.64
242,moderate,PC1,moderate,0.24,0.64
243,moderate,PC1,extensive,0.44,0.64
244,moderate,PC1,complete,0.71,0.64
245,moderate,PC2L,slight,0.18,0.64
246,moderate,PC2L,moderate,0.25,0.64
247,moderate,PC2L,extensive,0.4,0.64
248,moderate,PC2L,complete,0.74,0.64
249,moderate,PC2M,slight,0.15,0.64
250,moderate,PC2M,moderate,0.21,0.64
251,moderate,PC2M,extensive,0.45,0.64
252,moderate,PC2M,complete,0.86,0.64
253,moderate,PC2H,slight,0.12,0.64
254,moderate,PC2H,moderate,0.19,0.64
255,moderate,PC2H,extensive,0.46,0.64
256,moderate,PC2H,complete,0.9,0.64
257,moderate,RM1L,slight,0.22,0.64
258,moderate,RM1L,moderate,0.3,0.64
259,moderate,RM1L,extensive,0.5,0.64
260,moderate,RM1L,complete,0.85,0.64
261,moderate,RM1M,slight,0.18,0.64
262,moderate,RM1M,moderate,0.26,0.64
263,moderate,RM1M,extensive,0.51,0.64
264,moderate,RM1M,complete,1.03,0.64
265,moderate,RM2L,slight,0.2,0.64
266,moderate,RM2L,moderate,0.28,0.64
267,moderate,RM2L,extensive,0.47,0.64
268,moderate,RM2L,complete,0.81,0.64
269,moderate,RM2M,slight,0.16,0.64
270,moderate,RM2M,moderate,0.23,0.64
271,moderate,RM2M,extensive,0.48,0.64
272,moderate,RM2M,complete,0.99,0.64
273,moderate,RM2H,slight,0.12,0.64
274,moderate,RM2H,moderate,0.2,0.64
275,moderate,RM2H,extensive,0.48,0.64
276,moderate,RM2H,complete,1.01,0.64
277,moderate,URML,slight,NaN,NaN
278,moderate,URML,moderate,NaN,NaN
279,moderate,URML,extensive,NaN,NaN
280,moderate,URML,complete,NaN,NaN
281,moderate,URMM,slight,NaN,NaN
282,moderate,URMM,moderate,NaN,NaN
283,moderate,URMM,extensive,NaN,NaN
284,moderate,URMM,complete,NaN,NaN
285,moderate,MH,slight,0.11,0.64
286,moderate,MH,moderate,0.18,0.64
287,moderate,MH,extensive,0.31,0.64
288,moderate,MH,complete,0.6,0.64
289,low,W1,slight,0.2,0.64
290,low,W1,moderate,0.34,0.64
291,low,W1,extensive,0.61,0.64
292,low,W1,complete,0.95,0.64
293,low,W2,slight,0.14,0.64
294,low,W2,moderate,0.23,0.64
295,low,W2,extensive,0.48,0.64
296,low,W2,complete,0.75,0.64
297,low,S1L,slight,0.12,0.64
298,low,S1L,moderate,0.17,0.64
299,low,S1L,extensive,0.3,0.64
300,low,S1L,complete,0.48,0.64
301,low,S1M,slight,0.12,0.64
302,low,S1M,moderate,0.18,0.64
303,low,S1M,extensive,0.29,0.64
304,low,S1M,complete,0.49,0.64
305,low,S1H,slight,0.1,0.64
306,low,S1H,moderate,0.15,0.64
307,low,S1H,extensive,0.28,0.64
308,low,S1H,complete,0.48,0.64
309,low,S2L,slight,0.13,0.64
310,low,S2L,moderate,0.17,0.64
311,low,S2L,extensive,0.3,0.64
312,low,S2L,complete,0.5,0.64
313,low,S2M,slight,0.12,0.64
314,low,S2M,moderate,0.18,0.64
