id,lifeline_type,damage_state,mean_recovery_days,stdev_recovery_days
1,RTR,slight,0.9,0.07
2,RTR,moderate,3.3,3
3,RTR,extensive,15,13
4,RTR,complete,65,45
5,RLB,slight,0.6,0.06
6,RLB,moderate,2.5,2.7
7,RLB,extensive,45,42
8,RLB,complete,230,110
9,RTU,slight,0.9,0.05
10,RTU,moderate,4,3
11,RTU,extensive,37,30
12,RTU,complete,150,80
13,RFF,slight,0.9,0.05
14,RFF,moderate,1.5,1.5
15,RFF,extensive,15,15
16,RFF,complete,65,50
17,RST,slight,0,0
18,RST,moderate,1.5,1.5
19,RST,extensive,50,50
20,RST,complete,150,120
